Volume_AAL,Volume_ALGT,Volume_ALK,Volume_DAL,Volume_HA,Volume_LUV,Volume_BCS,Volume_CS,Volume_DB,Volume_GS,Volume_MS,Volume_WFC,Volume_BHC,Volume_JNJ,Volume_MRK,Volume_PFE,Volume_RHHBY,Volume_UNH,Volume_AAPL,Volume_AMZN,Volume_FB,Volume_GOOG,Volume_IBM,Volume_MSFT,Volume_SP500
2796200,120200,1416600.0,4833900.0,882800.0,4025500.0,3041400.0,2611000.0,3398300.0,2223800.0,6037000.0,13757000.0,20365700.0,5660600.0,13711300.0,12650000.0,2165000.0,2327200.0,100525200,2479400.0,14504000.0,1097000.0,3756200.0,21237500.0,3332720000
2326900,95500,1559300.0,4160200.0,756200.0,3258000.0,2327800.0,2543100.0,2619500.0,2177200.0,3785900.0,11421700.0,21463600.0,3917000.0,7376200.0,10553100.0,2712700.0,2257800.0,102355600,3555300.0,10376300.0,746300.0,3213600.0,20553100.0,2762950000
1352400,86200,452400.0,1841200.0,511800.0,1374000.0,1303800.0,1039500.0,1581600.0,1268500.0,2692900.0,5386500.0,6896300.0,2606800.0,4341300.0,6397300.0,1138400.0,744000.0,56106800,3528000.0,9426300.0,537000.0,1193000.0,7425600.0,1349780000
2630800,112600,1254400.0,5032300.0,706500.0,3129100.0,2413900.0,1716300.0,3510100.0,1999600.0,5025600.0,11066800.0,9713100.0,3933100.0,10100100.0,10292800.0,2298300.0,2856300.0,82867200,6744000.0,12344500.0,1307900.0,3374000.0,18265200.0,3006860000
3864100,164700,1605500.0,8571700.0,1241000.0,6663900.0,3445600.0,2284800.0,4284900.0,3212900.0,9001200.0,25685200.0,11048600.0,5052800.0,12830900.0,12985800.0,1982600.0,2905700.0,105715200,4559400.0,14379700.0,1424400.0,3973700.0,21926000.0,3488420000
8154200,265100,2883700.0,10936400.0,1586600.0,9702600.0,5809400.0,4517000.0,4208500.0,4500000.0,9441100.0,29631800.0,16904200.0,5851400.0,10477600.0,15296800.0,2484500.0,4247200.0,166665600,9257500.0,41933500.0,2459400.0,5098700.0,27381100.0,4078280000
6016200,289300,1981000.0,9432600.0,1841000.0,13382200.0,4477100.0,5385800.0,3463100.0,6364600.0,12158200.0,30984400.0,16174400.0,8941900.0,15400400.0,22830800.0,1310300.0,6846400.0,166108800,4509200.0,25307600.0,1724000.0,6500800.0,33054600.0,4938490000
3035200,80700,1633800.0,6289300.0,583600.0,4194100.0,4799400.0,2949400.0,2734300.0,3482300.0,10568400.0,18227000.0,48398800.0,6118400.0,13342500.0,15787200.0,2644800.0,3059400.0,95273600,2616800.0,14615700.0,1282700.0,5661600.0,22062700.0,3542370000
4503100,70800,1148100.0,13621800.0,890300.0,5062100.0,2818700.0,2977900.0,2568100.0,3353200.0,8190100.0,14731000.0,53353800.0,5337900.0,10137300.0,14786900.0,1506600.0,2811700.0,81906000,3214300.0,13591000.0,1558700.0,4637400.0,19306000.0,3430030000
9074200,244200,2635200.0,14378900.0,2254300.0,6471000.0,3002100.0,2326100.0,3309500.0,5283400.0,12708000.0,36467500.0,23793900.0,12517000.0,22580700.0,37779900.0,1418500.0,6293400.0,160677200,4778600.0,28463100.0,3275900.0,11279900.0,53936700.0,5723920000
3235900,67700,2392300.0,8709800.0,759300.0,4475800.0,5449300.0,1941500.0,5953000.0,2575600.0,8443000.0,19970900.0,27027200.0,5833200.0,11595000.0,16765100.0,1472900.0,3194100.0,117684400,2947600.0,17265400.0,1554600.0,5092800.0,22283800.0,3724660000
3019800,122700,2119200.0,6444100.0,1241400.0,3969200.0,2604200.0,1738700.0,3695100.0,2195500.0,7630600.0,17062700.0,13576200.0,6580100.0,9467100.0,14058500.0,1220500.0,2340200.0,109745600,2587800.0,14920600.0,1338700.0,4116400.0,23524800.0,3368590000
5172800,75100,1510300.0,7234700.0,715500.0,5166900.0,2473200.0,2103600.0,2264000.0,2052400.0,6435100.0,16544500.0,21775300.0,6289800.0,13135900.0,15099200.0,1197600.0,2633200.0,93902400,2371200.0,11860500.0,1268600.0,3785700.0,23674900.0,3241030000
7125900,165000,2020500.0,8245100.0,700400.0,3419400.0,2000100.0,3267700.0,4692700.0,3337800.0,11350600.0,22130700.0,16506200.0,6284700.0,9961800.0,14769400.0,1112900.0,2955300.0,83799600,2123100.0,11600700.0,995700.0,4153900.0,17990700.0,3273390000
