Close_AAL,Close_ALGT,Close_ALK,Close_DAL,Close_HA,Close_LUV,Close_BCS,Close_CS,Close_DB,Close_GS,Close_MS,Close_WFC,Close_BHC,Close_JNJ,Close_MRK,Close_PFE,Close_RHHBY,Close_UNH,Close_AAPL,Close_AMZN,Close_FB,Close_GOOG,Close_IBM,Close_MSFT,Close_SP500
42.900002,172.220001,81.720001,51.75,37.439999,43.540001,13.11,21.49,23.799999,180.050003,32.220001,54.34,113.120003,102.709999,52.099998,32.52,34.09,117.440002,26.807501,663.150024,105.510002,750.0,137.929993,55.349998,2038.969971
43.290001,172.339996,82.160004,51.740002,37.330002,43.439999,13.32,22.07,24.459999,182.949997,32.599998,55.040001,114.940002,103.489998,52.98,32.560001,34.509998,118.690002,27.1525,663.700012,104.629997,750.309998,138.539993,55.82,2064.290039
43.810001,173.240005,82.120003,52.259998,37.150002,43.900002,13.35,22.1,24.5,182.470001,32.48,54.82,114.110001,103.720001,52.849998,32.619999,34.59,118.339996,27.0075,662.789978,105.019997,748.400024,138.25,55.669998,2060.98999
43.23,173.550003,82.419998,51.950001,37.09,43.82,13.21,22.08,24.459999,181.619995,32.169998,54.68,102.139999,103.220001,52.84,32.419998,34.790001,118.330002,26.705,675.200012,105.93,762.51001,137.610001,55.950001,2056.5
43.5,176.429993,82.769997,52.169998,37.400002,44.34,13.25,22.15,24.870001,183.529999,32.549999,55.290001,101.389999,104.029999,53.34,32.830002,35.060001,119.82,27.184999,693.969971,107.260002,776.599976,139.779999,56.549999,2078.360107
42.799999,172.360001,81.440002,51.169998,36.48,43.349998,13.08,21.9,24.469999,182.009995,32.23,54.889999,102.330002,103.779999,53.25,32.75,35.080002,118.919998,26.83,689.070007,106.220001,771.0,139.339996,56.310001,2063.360107
42.349998,167.830002,80.510002,50.689999,35.330002,43.060001,12.96,21.690001,24.15,180.229996,31.809999,54.360001,101.650002,102.720001,52.82,32.279999,34.470001,117.639999,26.315001,675.890015,104.660004,758.880005,137.619995,55.48,2043.939941
40.099998,155.589996,67.660004,44.939999,29.76,40.400002,11.45,19.290001,22.17,158.990005,26.889999,49.73,85.540001,97.019997,50.66,30.370001,32.52,109.230003,24.3475,581.809998,95.440002,700.559998,131.169998,51.639999,1890.280029
40.549999,161.320007,68.75,45.34,31.209999,40.470001,11.57,19.290001,22.01,161.389999,27.15,50.639999,89.769997,98.889999,51.799999,31.110001,32.900002,110.760002,24.879999,593.0,98.370003,714.719971,132.910004,53.110001,1921.839966
38.759998,158.759995,68.730003,44.5,31.67,39.77,10.96,18.700001,20.959999,155.610001,25.969999,48.82,88.699997,97.0,51.139999,30.809999,31.92,109.269997,24.282499,570.179993,94.970001,694.450012,130.029999,50.990002,1880.329956
38.860001,156.190002,67.050003,45.959999,30.65,39.599998,10.75,18.49,20.42,156.820007,26.26,48.209999,88.980003,97.5,51.34,30.690001,32.34,112.580002,24.165001,574.47998,95.260002,701.789978,128.110001,50.560001,1881.329956
39.060001,163.979996,67.160004,45.689999,30.700001,39.299999,10.48,17.83,19.33,153.75,25.24,47.869999,89.349998,95.75,50.549999,30.66,32.009998,114.790001,24.1975,571.77002,94.349998,698.450012,121.860001,50.790001,1859.329956
39.790001,158.149994,72.610001,46.52,30.889999,39.5,10.62,17.35,18.58,151.649994,24.780001,48.009998,90.269997,95.940002,50.919998,30.58,31.9,113.5,24.075001,575.02002,94.160004,706.590027,122.910004,50.48,1868.98999
40.16,160.509995,72.860001,46.759998,31.58,39.0,10.99,17.84,19.059999,156.860001,25.610001,49.02,88.599998,96.75,51.349998,30.709999,32.799999,114.330002,25.355,596.380005,97.940002,725.25,122.5,52.290001,1906.900024
38.880001,158.990005,69.790001,45.939999,31.620001,38.200001,10.39,17.33,17.870001,151.119995,24.98,47.66,92.629997,96.400002,50.919998,30.5,32.669998,113.379997,24.860001,596.530029,97.010002,711.669983,122.080002,51.790001,1877.079956
39.639999,162.199997,71.330002,46.110001,32.349998,38.369999,10.67,17.559999,18.66,154.449997,25.49,48.259998,98.57,101.18,51.450001,30.67,32.720001,113.959999,24.997499,601.25,97.339996,713.039978,122.589996,52.169998,1903.630005
39.689999,158.5,70.019997,44.720001,36.040001,37.290001,10.37,17.49,18.42,153.720001,25.370001,48.57,94.43,102.160004,50.369999,30.52,32.849998,112.330002,23.355,583.349976,94.449997,699.98999,120.959999,51.220001,1882.949951
38.139999,152.770004,68.57,43.200001,34.799999,36.189999,10.37,17.32,17.76,157.059998,25.17,48.919998,86.120003,102.269997,49.200001,30.200001,31.870001,111.379997,23.522499,635.349976,109.110001,730.960022,122.220001,52.060001,1893.359985
38.990002,160.470001,70.400002,44.290001,35.209999,37.619999,10.78,17.799999,17.889999,161.559998,25.879999,50.23,90.220001,104.440002,50.669998,30.49,32.419998,115.160004,24.334999,587.0,112.209999,742.950012,124.790001,55.09,1940.23999
38.610001,155.470001,69.599998,44.580002,37.060001,37.080002,9.27,13.56,17.16,149.020004,23.719999,48.240002,91.260002,102.32,49.779999,29.809999,31.610001,115.150002,24.16,521.099976,101.610001,691.0,122.739998,51.09,1895.579956
39.34,155.619995,71.769997,46.099998,38.009998,38.509998,9.54,13.68,17.93,150.940002,24.23,48.130001,94.650002,102.5,50.599998,29.629999,31.700001,118.300003,24.530001,534.099976,105.199997,708.400024,126.099998,52.419998,1926.819946
39.540001,157.449997,72.32,46.459999,39.18,39.0,9.2,13.42,17.09,147.729996,23.959999,47.73,94.110001,104.239998,50.32,29.549999,32.25,117.449997,24.065001,525.0,103.470001,697.349976,132.449997,52.189999,1917.829956
39.759998,158.360001,72.339996,46.720001,39.77,39.310001,9.22,13.18,16.9,146.910004,24.0,48.09,84.989998,104.160004,50.119999,29.49,32.330002,117.68,24.01,534.900024,104.57,700.909973,133.080002,51.82,1917.780029
40.84,158.059998,72.389999,48.82,41.130001,40.82,9.31,13.36,17.389999,148.789993,24.540001,49.189999,75.919998,104.75,50.77,30.049999,32.560001,121.269997,24.219999,559.5,107.160004,706.460022,133.770004,52.650002,1945.5
40.380001,161.190002,72.739998,48.950001,41.290001,41.080002,9.0,12.96,16.68,144.910004,23.709999,48.099998,79.269997,104.080002,50.540001,29.959999,32.150002,121.150002,23.672501,552.940002,105.459999,695.849976,132.399994,51.18,1921.27002
40.66,164.710007,73.599998,48.939999,42.619999,41.360001,8.93,13.15,16.440001,145.559998,23.709999,47.610001,83.830002,104.959999,50.560001,30.02,32.419998,120.199997,24.025,554.039978,106.879997,699.559998,132.800003,51.360001,1929.800049
41.360001,169.300003,74.910004,49.200001,43.09,42.59,9.24,13.45,16.77,148.25,24.629999,47.75,84.709999,106.379997,51.0,30.59,32.650002,121.199997,24.190001,555.150024,108.07,705.75,134.5,52.099998,1951.699951
40.869999,163.020004,74.57,47.860001,42.639999,42.169998,9.31,13.65,17.32,150.25,25.16,48.07,80.650002,105.779999,50.639999,30.23,32.66,121.330002,24.227501,555.22998,107.919998,705.070007,132.029999,51.299999,1948.050049
41.0,163.880005,73.900002,48.240002,43.02,41.950001,9.44,13.33,17.190001,149.529999,24.700001,46.919998,65.800003,105.209999,50.209999,29.67,32.049999,119.099998,24.172501,552.52002,106.919998,697.77002,131.029999,50.880001,1932.22998
42.59,168.800003,79.790001,47.889999,45.75,43.82,9.42,15.72,20.59,153.490005,25.91,49.880001,69.040001,107.660004,53.080002,30.1,31.309999,125.220001,25.629999,573.369995,109.889999,730.48999,142.779999,53.169998,2019.640015
42.110001,170.110001,79.989998,47.759998,45.43,43.619999,9.31,15.31,20.15,152.029999,25.43,49.98,33.509998,107.760002,52.419998,29.540001,31.08,124.849998,26.145,577.02002,110.669998,728.330017,142.960007,53.59,2015.930054
42.310001,172.419998,80.529999,48.77,46.57,44.150002,9.37,14.64,19.309999,150.539993,25.16,49.540001,33.540001,107.410004,51.939999,29.040001,31.200001,124.900002,26.4925,574.27002,112.18,736.090027,144.789993,54.349998,2027.219971
42.099998,169.190002,80.980003,48.619999,45.439999,43.599998,9.34,14.78,19.120001,152.910004,25.85,49.73,29.690001,106.739998,51.529999,29.34,30.83,124.529999,26.450001,559.440002,111.019997,737.780029,147.039993,54.66,2040.589966
43.439999,173.100006,82.029999,50.049999,45.849998,44.5,9.46,15.12,19.27,157.600006,26.280001,50.540001,26.98,107.5,52.25,29.450001,30.129999,126.720001,26.48,552.080017,111.449997,737.599976,147.089996,53.490002,2049.580078
43.470001,175.009995,82.260002,50.119999,46.48,44.990002,9.33,15.04,19.07,156.289993,25.940001,50.669998,28.98,107.279999,52.799999,30.07,30.379999,126.739998,26.477501,553.97998,111.849998,742.090027,148.630005,53.860001,2051.600098
42.759998,174.360001,82.029999,49.389999,46.32,44.610001,8.97,14.75,18.709999,154.199997,25.84,50.369999,31.889999,107.379997,53.029999,30.379999,30.4,128.020004,26.68,560.47998,112.25,740.75,148.100006,54.07,2049.800049
41.919998,174.830002,81.120003,48.91,46.700001,44.43,8.84,14.72,18.0,154.080002,25.27,49.759998,33.43,108.5,53.080002,30.190001,30.370001,129.789993,26.532499,569.630005,112.540001,738.059998,145.399994,53.970001,2036.709961
40.5,172.850006,80.589996,47.84,46.279999,44.060001,8.75,14.36,17.540001,153.0,24.93,48.900002,31.09,108.309998,53.07,30.08,30.120001,128.589996,26.4175,582.950012,113.050003,735.299988,147.949997,54.209999,2035.939941
40.91,176.220001,81.489998,48.200001,45.830002,43.810001,8.8,14.41,17.610001,153.839996,24.719999,48.700001,28.860001,108.230003,52.830002,29.780001,30.09,128.919998,26.297501,579.869995,113.690002,733.530029,148.399994,53.540001,2037.050049
41.349998,180.809998,82.349998,49.130001,47.220001,44.639999,8.8,14.2,17.450001,155.029999,24.780001,48.049999,28.98,109.139999,53.32,30.049999,30.74,129.830002,26.92,593.859985,116.139999,744.77002,149.330002,54.709999,2055.01001
41.380001,180.0,82.330002,49.330002,47.290001,44.98,8.71,14.22,17.120001,156.5,25.07,48.650002,27.07,108.980003,53.220001,30.07,30.639999,129.679993,27.389999,598.690002,114.699997,750.530029,148.410004,55.049999,2063.949951
